ric,canonical_name,primary_group,source_type,source_title,source_url,source_retrieval_status,source_as_of_policy,pit_limitation
NVDA.OQ,NVIDIA Corporation,gpu_accelerator,official_issuer_description,NVIDIA About NVIDIA,https://www.nvidia.com/en-us/about-nvidia/,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Local Orig segment keyword match joins an Orig announcement date; day-level date only and raw segment taxonomy coverage is limited to this LSEG run.
AMD.OQ,"Advanced Micro Devices, Inc.",gpu_accelerator,official_issuer_description,AMD Corporate Information,https://www.amd.com/en/corporate.html,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
AVGO.OQ,Broadcom Inc.,gpu_accelerator,official_issuer_description,Broadcom Investor Overview,https://investors.broadcom.com/overview/default.aspx,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
INTC.OQ,Intel Corporation,gpu_accelerator,official_issuer_description,Intel Company Overview,https://www.intel.com/content/www/us/en/company-overview/company-overview.html,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Local Orig segment keyword match joins an Orig announcement date; day-level date only and raw segment taxonomy coverage is limited to this LSEG run.
MRVL.OQ,"Marvell Technology, Inc.",gpu_accelerator,official_issuer_description,Marvell Company,https://www.marvell.com/company.html,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
QCOM.OQ,QUALCOMM Incorporated,ai_semiconductor,official_issuer_description,Qualcomm Company,https://www.qualcomm.com/company,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
TXN.OQ,Texas Instruments Incorporated,ai_semiconductor,official_issuer_description,Texas Instruments Company Profile,https://www.ti.com/about-ti/company-profile.html,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
ADI.OQ,"Analog Devices, Inc.",ai_semiconductor,official_issuer_description,Analog Devices About ADI,https://www.analog.com/en/about-adi.html,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
NXPI.OQ,NXP Semiconductors N.V.,ai_semiconductor,official_issuer_description,NXP About NXP,https://www.nxp.com/company/about-nxp,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
ON.OQ,onsemi,ai_semiconductor,official_issuer_description,onsemi About Us,https://www.onsemi.com/company/about-us,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
MPWR.OQ,"Monolithic Power Systems, Inc.",ai_semiconductor,official_issuer_description,MPS About MPS,https://www.monolithicpower.com/en/about-mps,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
MU.OQ,"Micron Technology, Inc.",memory_hbm_storage,official_issuer_description,Micron About,https://www.micron.com/about,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Local Orig segment keyword match joins an Orig announcement date; day-level date only and raw segment taxonomy coverage is limited to this LSEG run.
WDC.OQ,Western Digital Corporation,memory_hbm_storage,official_issuer_description,Western Digital Company,https://www.westerndigital.com/company,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
STX.OQ,Seagate Technology Holdings plc,memory_hbm_storage,official_issuer_description,Seagate About Us,https://www.seagate.com/company/about-us/,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
SNDK.OQ,SanDisk Corporation,memory_hbm_storage,official_issuer_description,SanDisk About,https://www.sandisk.com/company/about,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
NTAP.OQ,"NetApp, Inc.",memory_hbm_storage,official_issuer_description,NetApp Company,https://www.netapp.com/company/,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
HPE.N,Hewlett Packard Enterprise Company,server_network,official_issuer_description,HPE About,https://www.hpe.com/us/en/about.html,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Local Orig segment keyword match joins an Orig announcement date; day-level date only and raw segment taxonomy coverage is limited to this LSEG run.
DELL.N,Dell Technologies Inc.,server_network,official_issuer_description,Dell Technologies About Us,https://www.dell.com/en-us/dt/corporate/about-us.htm,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
ANET.N,"Arista Networks, Inc.",server_network,official_issuer_description,Arista About Us,https://www.arista.com/en/company/about-us,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
CSCO.OQ,"Cisco Systems, Inc.",server_network,official_issuer_description,Cisco About,https://www.cisco.com/c/en/us/about.html,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
JNPR.N^G25,"Juniper Networks, Inc.",server_network,official_issuer_description,Juniper Company,https://www.juniper.net/us/en/company.html,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
CIEN.N,Ciena Corporation,server_network,official_issuer_description,Ciena About,https://www.ciena.com/about,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
MSFT.OQ,Microsoft Corporation,cloud_software,official_issuer_description,Microsoft About,https://www.microsoft.com/en-us/about,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Local Orig segment keyword match joins an Orig announcement date; day-level date only and raw segment taxonomy coverage is limited to this LSEG run.
AMZN.OQ,"Amazon.com, Inc.",cloud_software,official_issuer_description,About Amazon,https://www.aboutamazon.com/about-us,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
GOOG.OQ,Alphabet Inc.,cloud_software,official_issuer_description,Google Company Info,https://about.google/intl/en_us/company-info/,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
META.OQ,"Meta Platforms, Inc.",cloud_software,official_issuer_description,Meta Company Info,https://about.meta.com/company-info/,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
ORCL.N,Oracle Corporation,cloud_software,official_issuer_description,Oracle Corporate,https://www.oracle.com/corporate/,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
IBM.N,International Business Machines Corporation,cloud_software,official_issuer_description,IBM About,https://www.ibm.com/about,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
NOW.N,"ServiceNow, Inc.",cloud_software,official_issuer_description,ServiceNow Company,https://www.servicenow.com/company.html,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
PLTR.OQ,Palantir Technologies Inc.,cloud_software,official_issuer_description,Palantir About,https://www.palantir.com/about/,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
SNPS.OQ,"Synopsys, Inc.",cloud_software,official_issuer_description,Synopsys Company,https://www.synopsys.com/company.html,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
CDNS.OQ,"Cadence Design Systems, Inc.",cloud_software,official_issuer_description,Cadence Company,https://www.cadence.com/en_US/home/company.html,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
EQIX.OQ,"Equinix, Inc.",data_center_power_cooling,official_issuer_description,Equinix Investor Overview,https://investor.equinix.com/overview/default.aspx,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Local Orig segment keyword match joins an Orig announcement date; day-level date only and raw segment taxonomy coverage is limited to this LSEG run.
DLR.N,"Digital Realty Trust, Inc.",data_center_power_cooling,official_issuer_description,Digital Realty About,https://www.digitalrealty.com/about,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
AMT.N,American Tower Corporation,data_center_power_cooling,official_issuer_description,American Tower About Us,https://www.americantower.com/company/about-us,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Local Orig segment keyword match joins an Orig announcement date; day-level date only and raw segment taxonomy coverage is limited to this LSEG run.
IRM.N,Iron Mountain Incorporated,data_center_power_cooling,official_issuer_description,Iron Mountain About Us,https://www.ironmountain.com/about-us,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Local Orig segment keyword match joins an Orig announcement date; day-level date only and raw segment taxonomy coverage is limited to this LSEG run.
VRT.N,Vertiv Holdings Co,data_center_power_cooling,official_issuer_description,Vertiv Company,https://www.vertiv.com/en-us/about/company/,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
ETN.N,Eaton Corporation plc,data_center_power_cooling,official_issuer_description,Eaton About Us,https://www.eaton.com/us/en-us/company/about-us.html,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
TT.N,Trane Technologies plc,data_center_power_cooling,official_issuer_description,Trane Technologies About Us,https://www.tranetechnologies.com/en/index/company/about-us.html,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
JCI.N,Johnson Controls International plc,data_center_power_cooling,official_issuer_description,Johnson Controls About Us,https://www.johnsoncontrols.com/about-us,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
CARR.N,Carrier Global Corporation,data_center_power_cooling,official_issuer_description,Carrier About Us,https://www.carr.com/about-us,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
TSLA.OQ,"Tesla, Inc.",robotics_autonomy,official_issuer_description,Tesla About,https://www.tesla.com/about,reference_only_not_downloaded,reference URL supplied in frozen config; no page body downloaded in this run,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.
