Instrument,ric,canonical_name,primary_group,candidate_status,inclusion_reason,source_type,source_title,source_url,source_retrieval_status,universe_name,delisted_ric,member_from,member_to,segment_rows,segment_periods,announcement_rows,local_keyword_evidence_rows,local_keyword_groups,local_first_orig_announcement,pit_first_observable_date,pit_evidence_status,pit_eligible_now,pit_limitation,existing_pool_v1_member_overlap,taxonomy_version,reason_code,member_from_dt,member_to_dt,ai_role_evidence_status,candidate_source,membership_run_id
NVDA.OQ,NVDA.OQ,NVIDIA Corporation,gpu_accelerator,selected_design_candidate,GPU and accelerated data-center computing platform supplier.,official_issuer_description,NVIDIA About NVIDIA,https://www.nvidia.com/en-us/about-nvidia/,reference_only_not_downloaded,,False,2015-01-01,2026-09-07,53,14,14,16,gpu_accelerator | ai_semiconductor,2013-02-13,2015-01-01,direct_local_pit,True,Local Orig segment keyword match joins an Orig announcement date; day-level date only and raw segment taxonomy coverage is limited to this LSEG run.,True,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2015-01-01,2026-09-07,direct_local_pit,external_registry_exploratory_static_candidate,20260910T023221976393Z
AMD.OQ,AMD.OQ,"Advanced Micro Devices, Inc.",gpu_accelerator,selected_design_candidate,CPU/GPU and adaptive-computing supplier with data-center accelerators.,official_issuer_description,AMD Corporate Information,https://www.amd.com/en/corporate.html,reference_only_not_downloaded,AMD,False,2017-03-20,2026-09-07,55,14,14,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2017-03-20,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
AVGO.OQ,AVGO.OQ,Broadcom Inc.,gpu_accelerator,selected_design_candidate,"Custom accelerator, switching and data-center connectivity silicon supplier.",official_issuer_description,Broadcom Investor Overview,https://investors.broadcom.com/overview/default.aspx,reference_only_not_downloaded,Broadcom,False,2015-01-01,2026-09-07,55,13,13,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2015-01-01,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
INTC.OQ,INTC.OQ,Intel Corporation,gpu_accelerator,selected_design_candidate,Data-center CPU/accelerator and foundry supplier.,official_issuer_description,Intel Company Overview,https://www.intel.com/content/www/us/en/company-overview/company-overview.html,reference_only_not_downloaded,,False,2015-01-01,2026-09-07,99,14,14,37,gpu_accelerator | ai_semiconductor | memory_hbm_storage | server_network | cloud_software,2013-01-17,2015-01-01,direct_local_pit,True,Local Orig segment keyword match joins an Orig announcement date; day-level date only and raw segment taxonomy coverage is limited to this LSEG run.,True,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2015-01-01,2026-09-07,direct_local_pit,external_registry_exploratory_static_candidate,20260910T023221976393Z
MRVL.OQ,MRVL.OQ,"Marvell Technology, Inc.",gpu_accelerator,selected_design_candidate,"Data infrastructure, custom compute and networking silicon supplier.",official_issuer_description,Marvell Company,https://www.marvell.com/company.html,reference_only_not_downloaded,Marvell Tech,False,2026-06-22,2026-09-07,14,14,14,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2026-06-22,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
QCOM.OQ,QCOM.OQ,QUALCOMM Incorporated,ai_semiconductor,selected_design_candidate,AI-capable mobile/edge compute and connectivity silicon supplier.,official_issuer_description,Qualcomm Company,https://www.qualcomm.com/company,reference_only_not_downloaded,,False,2015-01-01,2026-09-07,67,13,13,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2015-01-01,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
TXN.OQ,TXN.OQ,Texas Instruments Incorporated,ai_semiconductor,selected_design_candidate,"Analog, embedded and power semiconductor supplier used in edge and industrial compute.",official_issuer_description,Texas Instruments Company Profile,https://www.ti.com/about-ti/company-profile.html,reference_only_not_downloaded,,False,2015-01-01,2026-09-07,57,14,14,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2015-01-01,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
ADI.OQ,ADI.OQ,"Analog Devices, Inc.",ai_semiconductor,selected_design_candidate,"Analog, mixed-signal and edge-compute semiconductor supplier.",official_issuer_description,Analog Devices About ADI,https://www.analog.com/en/about-adi.html,reference_only_not_downloaded,,False,2015-01-01,2026-09-07,13,13,13,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2015-01-01,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
NXPI.OQ,NXPI.OQ,NXP Semiconductors N.V.,ai_semiconductor,selected_design_candidate,Automotive/industrial edge processing and connectivity semiconductor supplier.,official_issuer_description,NXP About NXP,https://www.nxp.com/company/about-nxp,reference_only_not_downloaded,NXP Semicondtrs,False,2021-03-22,2026-09-07,65,14,14,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2021-03-22,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
ON.OQ,ON.OQ,onsemi,ai_semiconductor,selected_design_candidate,Intelligent power and sensing semiconductor supplier for edge and data-center systems.,official_issuer_description,onsemi About Us,https://www.onsemi.com/company/about-us,reference_only_not_downloaded,ON Semiconductor,False,2022-06-21,2026-09-07,58,14,14,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2022-06-21,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
